count(*),ticker_id,ticker
97,10936,IRY
96,10937,IPN
98,10938,IRV
3,10939,MDD
2,10943,IPU
98,10951,RBL
2,11025,ALD
98,11027,AUNZ
98,11028,AUSE
97,11029,CCXE
98,11042,DBU
98,11091,AMCO
85,11148,CART
76,11205,DGSE
98,11214,DVCR
40,11219,EAGL
98,11220,EAGLU
75,11247,FCSC
97,11248,FEEU
98,11251,FIBG
98,11252,FIEG
97,11253,FIGY
40,11258,FNRG
96,11266,FTD
39,11283,GOODP
97,11305,HMNY
98,11317,ICLD
86,11318,IDSA
40,11326,INSY
39,11333,JMPB
35,11364,MAMS
98,11367,MDXG
98,11368,MEIL
97,11397,NECB
98,11411,NWBO
67,11423,OMED
97,11426,OPHT
46,11455,PSIX
98,11501,SCTY
98,11515,SPDC
97,11543,THST
43,11546,TLOG
95,11594,XGTI
3,11609,ACSF
94,11623,AMBCW
5,11646,BLNG
98,11662,BUNL
97,11663,BWV
98,11683,CMDT
98,11696,CSCR
98,11697,CSLS
97,11701,CUPM
98,11707,DBAP
98,11709,DBBR
98,11712,DBIZ
96,11713,DBKO
3,11714,DBMX
98,11715,DCNG
96,11723,DIRT
98,11725,DLBL
97,11734,DXJF
98,11735,DXJR
4,11737,DXJT
98,11746,EGLT
98,11750,EMBB
98,11755,EMHD
98,11764,EPRO
97,11765,EQLT
98,11784,FIEU
6,11797,FOIL
97,11825,GLDS
98,11827,GLRI
98,11838,GSRA
98,11842,GYEN
98,11866,IBDB
98,11874,IEIL
97,11875,IEIS
98,11876,IELG
98,11878,IESM
97,11880,IJNK
98,11902,JGBL
3,11903,JGBT
2,11916,KMPA
98,11919,KORZ
97,11933,LSC
2,11934,LSTK
98,11947,MLPJ
97,11956,MUAG
98,11957,MUAH
98,11961,NASH
57,11965,NEWM
98,11970,NINI
98,11989,ONG
97,11992,OSMS
98,12022,QDXU
98,12025,QINC
10,12041,RGSE
98,12050,RSCO
98,12061,SBV
98,12075,SMLR
98,12087,SPXH
98,12101,THHY
87,12109,TRCB
98,12122,USAG
41,12136,VTL
98,12140,VZA
97,12146,WMGIZ
98,12147,XGTIW
40,12158,AAC
82,12168,AFGE
63,12170,AGNCB
36,12174,ALDR
50,12186,APDNW
98,12204,AXJV
96,12217,BHBK
98,12280,CTNN
98,12290,DBUK
97,12297,DIVI
98,12305,DXJC
96,12311,EFFE
98,12315,EMHZ
98,12317,EMRE
87,12318,ENFC
50,12340,FELP
98,12348,FMLP
98,12353,FORX
98,12357,FSAM
40,12358,FSNN
98,12362,FUTS
98,12367,GBIM
98,12379,GULTU
98,12404,IBDF
2,12405,IBDH
97,12407,IBLN
98,12411,IBMG
98,12412,IBMH
96,12423,IMDZ
98,12428,INVT
97,12460,LALT
7,12466,LEDD
96,12491,MELR
88,12522,NTRSP
79,12529,OHAI
66,12532,ORPN
93,12555,PRTO
98,12558,PVCT
96,12560,QAUS
97,12561,QCAN
98,12562,QDEU
98,12565,QESP
98,12566,QGBR
98,12567,QJPN
97,12572,QTWN
98,12585,RORO
98,12596,SCTO
43,12607,SHLDW
98,12610,SIPE
44,12611,SIXD
97,12650,TOFR
98,12656,TRSK
98,12687,VQTS
98,12703,WBIH
98,12709,WHLRW
98,12717,WYDE
2,12723,XXV
98,12724,YDIV
98,12726,YGRO
98,12734,ZVV
98,12768,DXJH
98,12770,EMLB
98,12781,GDJJ
97,12782,GDJS
98,12783,GDXS
43,12784,GDXX
98,12791,HOMX
98,12803,KEMP
96,12805,LENS
98,12807,LLSC
98,12808,LLSP
44,12809,LTXB
96,12812,MFLA
95,12814,NCOM
78,12824,ONCE
98,12866,VLLV
23,12928,CIVBP
41,12938,CVRS
98,12954,ESES
58,13003,MCRN
40,13017,PGLC
67,13065,YECO
3,13102,BHAC
83,13125,DHXM
72,13129,DTRM
98,13132,EDGE
98,13135,EQFN
98,13136,ESNC
98,13198,PRZM
57,13250,ABEOW
84,13251,ABIL
31,13378,ATISW
58,13386,AVDR
85,13402,RILYL
71,13450,BRQS
33,13454,BWMCU
97,13455,BWMCW
92,13499,CFFAU
60,13506,CTACU
99,13507,CTACW
72,13508,CHEKW
67,13520,CMCTP
79,13542,CPAAW
53,13575,DDMXU
83,13576,DDMXW
42,13581,DFBH
11,13582,DFBHU
37,13583,DFBHW
51,13600,DOVA
100,13607,EVGBC
54,13608,EVSTC
100,13609,EVLMC
73,13641,ESTRW
64,13656,EXPCW
52,13669,FLLCR
41,13671,FLLCW
86,13740,FPAYW
77,13756,FTEO
92,13805,GPAQU
97,13807,GRSH
58,13808,GRSHW
71,13849,HSAC
52,13850,HSACU
51,13851,HSACW
79,14016,DFNSU
74,14038,LOACR
95,14040,LOACW
94,14061,MLNT
25,14067,MCMJU
77,14098,MTFB
33,14099,MTFBW
76,14125,NEBUW
59,14162,NVTR
54,14214,PNRL
80,14258,PSDO
49,14317,HAIR
16,14339,SBFGP
88,14358,SNHNI
88,14359,SNHNL
42,14363,STNL
13,14364,STNLU
36,14365,STNLW
12,14393,SLNOW
78,14401,SNOAW
96,14486,TKKS
86,14487,TKKSR
41,14488,TKKSU
68,14489,TKKSW
87,14493,TOTAR
47,14494,TOTAU
72,14495,TOTAW
36,14497,TBLTU
54,14511,TMCX
17,14512,TMCXU
54,14513,TMCXW
65,14526,BROGR
30,14527,BROGU
96,14634,ZNWAA
89,14751,BRPM
67,14835,CBS.A
89,14880,CCH.U
17,15056,GIG.U
67,15060,GIX.U
